133.15	189.79	116.12	83.48
133.2	191.78	117.18	83.38
133.2	191.26	116.96	83.65
133.1	191.13	117.15	83.72
132.3	189.74	116.32	82.96
131.55	188.54	115.69	82.8
131.55	188.31	115.05	82.45
130.7	187.84	115.16	81.93
131.1	188.36	115.41	82.33
131.55	189.06	115.99	82.83
132.2	189.84	116.38	83.27
131.85	189.49	116.01	83.15
130.95	188.55	115.59	82.81
130.6	188.97	116.31	82.93
130.1	188.59	115.93	82.65
130.3	188.62	115.99	82.83
129.9	188.43	115.4	82.65
130.25	188.58	115.68	82.79
129.45	187.73	115.57	82.6
128.75	187.43	115.62	82.25
128.35	187.08	115.93	81.98
